Registry,Project Sector,Count
Woodland Carbon Code,Forestry and Land Use,"2,292"
Australian Carbon Credit Units,Forestry and Land Use,863
Australian Carbon Credit Units,Agriculture,713
Verra,Forestry and Land Use,581
Climate Action Reserve,Forestry and Land Use,476
Unregistered CDR,Biochar,409
Unregistered CDR,DAC,241
Unregistered CDR,Utilization,185
Clean Development Mechanism,Forestry and Land Use,122
ACR,Forestry and Land Use,119
Unregistered CDR,Enhanced Rock Weathering,100
Global C-Sink,Biochar,94
Gold Standard Impact Registry,Forestry and Land Use,94
Puro.earth,Biochar,67
Unregistered CDR,Carbon Capture,67
Unregistered CDR,BECCS,63
Cercarbono (listed on EcoRegistry),Forestry and Land Use,44
International Carbon Registry,Forestry and Land Use,38
Unregistered CDR,Marine Biomass cultivation/sinking,37
Unregistered CDR,Mineralization,33
City Forest Credits,Forestry and Land Use,28
Unregistered CDR,Bio-other,27
Unregistered CDR,Forestry and Land Use,24
BioCarbon Standard,Forestry and Land Use,22
Plan Vivo,Forestry and Land Use,20
Unregistered CDR,Ocean Alkalinity Enhancement,19
Puro.earth,Utilization,17
Unregistered CDR,Direct Ocean Capture,17
Verra,Agriculture,17
Rainbow,Bio-other,16
Gold Standard Impact Registry,Carbon Capture,13
Verra,"Agriculture, Forestry and Land Use",13
Unregistered CDR,"Carbon Capture, DAC",12
Unregistered CDR,"Mineralization, Utilization",12
Verra,Biochar,11
Isometric,Biochar,10
Isometric,Enhanced Rock Weathering,9
Unregistered CDR,Ocean Fertilization ,8
Verra,Utilization,8
Unregistered CDR,"DAC, Utilization",7
Climate Action Reserve,Agriculture,5
Unregistered CDR,Blue Carbon,5
Isometric,Bio-other,4
Puro.earth,Bio-other,4
Unregistered CDR,"Carbon Capture, Utilization",4
Unregistered CDR,"Marine Biomass cultivation/sinking, Utilization",4
Unregistered CDR,Artificial upwelling/downwelling,3
Clean Development Mechanism,"Agriculture, Forestry and Land Use",2
Gold Standard Impact Registry,Other,2
Isometric,DAC,2
Isometric,Ocean Alkalinity Enhancement,2
Puro.earth,DAC,2
Unregistered CDR,"Biochar, Enhanced Rock Weathering",2
Unregistered CDR,"Biochar, Forestry and Land Use",2
Unregistered CDR,"Biochar, Utilization",2
Unregistered CDR,"Carbon Capture, Marine Biomass cultivation/sinking",2
Unregistered CDR,"Carbon Capture, Mineralization",2
Unregistered CDR,"DAC, Mineralization",2
Australian Carbon Credit Units,Carbon Capture,1
Clean Development Mechanism,"Renewable Energy, Waste Disposal",1
Isometric,Forestry and Land Use,1
Isometric,Other,1
Puro.earth,Agriculture,1
Puro.earth,BECCS,1
Puro.earth,Other,1
Social Carbon,Blue Carbon,1
Unregistered CDR,"BECCS, Carbon Capture",1
Unregistered CDR,"BECCS, Marine Biomass cultivation/sinking",1
Unregistered CDR,"BECCS, Utilization",1
Unregistered CDR,"Biochar, Biochar",1
Unregistered CDR,"Biochar, DAC",1
Unregistered CDR,"Biochar, DAC, Mineralization",1
Unregistered CDR,"Blue Carbon, Enhanced Rock Weathering, Forestry and Land Use",1
Unregistered CDR,"Carbon Capture, Mineralization, Utilization",1
Unregistered CDR,"DAC, DAC, Mineralization",1
Unregistered CDR,"DAC, Mineralization, Utilization",1
Unregistered CDR,"DAC, Ocean Alkalinity Enhancement",1
Unregistered CDR,"Direct Ocean Capture, Utilization",1
Unregistered CDR,"Enhanced Rock Weathering, Ocean Alkalinity Enhancement",1
Unregistered CDR,"Marine Biomass cultivation/sinking, Mineralization",1
Unregistered CDR,"Ocean Alkalinity Enhancement, Utilization",1
Verra,Waste Disposal,1
